tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,ATCZone_pre,thr_distance_nm_pre,ATCZone_fol,thr_distance_nm_fol,ATCZone,thr_distance_nm,min_required_nm,is_below_minima,margin_nm,Aircraft_Type_Preceding,Aircraft_Type_Following,Wake_Pre,Wake_Fol,wake_required_nm,wake_is_below,wake_margin_nm
19724.0,VLG6UW,VLG2472,15.452843504622878,1.8093094806833168,18.232437809610328,10.504673381236591,9.128827847175328,TMA,8.416231751612663,TWR,0.3213970242418366,TWR,0.3213970242418366,3.0,False,6.128827847175328,A321,A321,,,,False,
19728.0,VLG6UW,VLG2472,15.326527150111684,1.5561904448015311,18.121718611893684,10.446192613272796,9.31907902442311,TMA,8.690538953267815,TWR,0.4464588012649371,TWR,0.4464588012649371,3.0,False,6.319079024423109,A321,A321,,,,False,
19732.0,VLG6UW,VLG2472,15.200438906334693,1.298642039429323,17.988356256416715,10.39168661022641,9.510832913966617,TMA,8.969643202083295,TWR,0.5903588411062894,TWR,0.5903588411062894,3.0,False,6.510832913966617,A321,A321,,,,False,
19824.0,VLG2472,VLG3LK,16.398541632856762,6.611512370964263,18.16249773035752,10.474436221817072,4.24661297876291,TMA,3.5235756438640067,TWR,0.3975816484896114,TWR,0.3975816484896114,3.0,False,1.2466129787629097,A321,A320,,,,False,
19828.0,VLG2472,VLG3LK,16.40656094423962,6.342415657502392,18.03386293289918,10.414148799904698,4.384874290698961,TMA,3.783991176955813,TWR,0.5396324049351321,TWR,0.5396324049351321,3.0,False,1.3848742906989608,A321,A320,,,,False,
19928.0,VLG3LK,VLG55PB,16.30670972991899,6.100307142439735,18.07578939711381,10.430562185164936,4.677686565379212,TMA,4.042192457331371,TWR,0.4946807254903204,TWR,0.4946807254903204,3.0,False,1.6776865653792123,A320,A21N,,,,False,
19932.0,VLG3LK,VLG55PB,16.31882904962477,5.839285285310932,17.942778264134684,10.365574073593969,4.808794157192018,TMA,4.2942620349926255,TWR,0.6426921492163565,TWR,0.6426921492163565,3.0,False,1.8087941571920183,A320,A21N,,,,False,
20004.0,VLG55PB,VLG56ND,16.59423934733904,7.649174798175742,18.0484189543744,10.419183786497245,3.128512126378837,TMA,2.4694828931129025,TWR,0.5243011590550799,TWR,0.5243011590550799,3.0,False,0.1285121263788369,A21N,A319,,,,False,
20072.0,VLG55PB,VLG1PT,16.20602005971658,3.152657863161329,18.197933519605588,10.484556349461707,7.597661129920232,TMA,6.959342098064592,TWR,0.36115932361557,TWR,0.36115932361557,3.0,False,4.597661129920232,A21N,A321,,,,False,
20076.0,VLG55PB,VLG1PT,16.072525531985228,2.883126318767484,18.07818622436461,10.429247338636127,7.808112272467598,TMA,7.24607834083433,TWR,0.4930609420368605,TWR,0.4930609420368605,3.0,False,4.808112272467598,A21N,A321,,,,False,
20080.0,VLG56ND,VLG1PT,16.182292703917714,7.677257912616497,17.94584749014699,10.36821408632848,3.217354598559323,TMA,2.579260195781562,TWR,0.6387942256198786,TWR,0.6387942256198786,3.0,False,0.21735459855932282,A319,A321,,,,False,
20152.0,VLG56ND,VLG11TT,14.46879916491045,3.530424702183587,18.069143058183386,10.429856314363263,7.782328232667392,TMA,7.06571287662918,TWR,0.5010152015893342,TWR,0.5010152015893342,3.0,False,4.782328232667392,A319,A320,,,,False,
20244.0,VLG1PT,VLG15SY,15.661784791278908,2.0907841462565546,18.23952068568785,10.510492456963403,8.805464801968732,TMA,8.098410162128873,TWR,0.3125474970340371,TWR,0.3125474970340371,3.0,False,5.805464801968732,A321,A320,,,,False,
20248.0,VLG1PT,VLG15SY,15.534470825892194,1.8374508439125337,18.128269295727577,10.460464964318954,9.004674509544966,TMA,8.371879147472102,TWR,0.4345292859558179,TWR,0.4345292859558179,3.0,False,6.004674509544966,A321,A320,,,,False,
20252.0,VLG11TT,VLG15SY,15.897111975267483,6.246505530862226,17.997730303429535,10.395060241602382,4.650064897247636,TMA,4.015939029038793,TWR,0.5804326860129112,TWR,0.5804326860129112,3.0,False,1.6500648972476357,A320,A320,,,,False,
20344.0,VLG15SY,VLG7EY,16.28468233985561,6.604618858869527,18.095416824630465,10.442148740445282,4.243276442366168,TMA,3.5585856069583386,TWR,0.4720093684458152,TWR,0.4720093684458152,3.0,False,1.2432764423661684,A320,A321,,,,False,
20348.0,VLG15SY,VLG7EY,16.31110991298556,6.329846429544013,17.957372261230187,10.374594370746506,4.366940075969639,TMA,3.817927114561751,TWR,0.6256538108599767,TWR,0.6256538108599767,3.0,False,1.366940075969639,A320,A321,,,,False,
20424.0,VLG15SY,VLG76GZ,15.25713947799412,1.248439389144128,18.20319540581276,10.4908512911224,9.700588811802353,TMA,9.006014870727071,TWR,0.3537387187951507,TWR,0.3537387187951507,3.0,False,6.700588811802353,A320,A321,,,,False,
20428.0,VLG7EY,VLG76GZ,16.455947644482702,7.229426792975171,18.07103163353745,10.428730593380006,3.5838584094500474,TMA,2.910730326707771,TWR,0.4997681541163368,TWR,0.4997681541163368,3.0,False,0.5838584094500474,A321,A321,,,,False,
20432.0,VLG7EY,VLG76GZ,16.46708728243899,6.99235654327836,17.920176757417224,10.35748300150535,3.6654529191017926,TMA,3.137344053239399,TWR,0.6665962941171103,TWR,0.6665962941171103,3.0,False,0.6654529191017926,A321,A321,,,,False,
20516.0,VLG7EY,VLG68LT,14.905627954638142,1.81373724054058,18.1469548386672,10.464425199239551,9.237997733703384,TMA,8.543809059625623,TWR,0.4158755813777814,TWR,0.4158755813777814,3.0,False,6.237997733703384,A321,A321,,,,False,
