id_preceding,id_following,callsign_preceding,callsign_following,wake_cat_preceding,wake_cat_following,runway_preceding,runway_following,sid_preceding,sid_following,distance_twr_nm,time_twr,distance_tma_nm,time_tma,ac_type_preceding,ac_type_following,proc_preceding,proc_following,engine_group_preceding,engine_group_following,malformed_engine_group,same_runway,same_sid,loa_min_required_nm,twr_ok,tma_ok,loa_ok,reason
613,614,DLH98Y,DLH97F,Media,Media,LEBL-24L,LEBL-24L,AGENA1C,-,3.7510624986264216,06:06:50:734,3.8667443853214953,06:06:54:711,A320,A321,AGENA1C,-,HP,HP,False,True,False,3,True,True,True,
614,615,DLH97F,THY1852,Media,Media,LEBL-24L,LEBL-24L,-,DIPES1C,3.8533282990554216,06:08:18:609,3.9637983054552133,06:08:22:594,A321,B738,-,DIPES1C,HP,HP,False,True,False,3,True,True,True,
615,616,THY1852,VLG700D,Media,Media,LEBL-24L,LEBL-24L,DIPES1C,-,4.916850452201928,,,,B738,A320,DIPES1C,-,HP,HP,False,True,False,3,True,True,True,
616,617,VLG700D,VLG6ZP,Media,Media,LEBL-24L,LEBL-24L,-,OLOXO1C,4.9373124390054,06:11:54:281,5.083965711543339,06:11:58:266,A320,A20N,-,OLOXO1C,HP,HP,False,True,False,3,True,True,True,
617,618,VLG6ZP,NSZ3DA,Media,Media,LEBL-24L,LEBL-24L,OLOXO1C,-,3.000024605710331,06:13:02:344,3.094236107632668,06:13:06:328,A20N,B738,OLOXO1C,-,HP,HP,False,True,False,3,True,True,True,
618,619,NSZ3DA,VLG8VX,Media,Media,LEBL-24L,LEBL-24L,-,-,3.7419921471863384,06:14:26:188,3.833554941454333,06:14:30:164,B738,A320,-,-,HP,HP,False,True,False,3,True,True,True,
619,620,VLG8VX,IBE04GZ,Media,Media,LEBL-24L,LEBL-24L,-,-,2.800892769957876,06:15:34:148,2.846936957972436,06:15:38:125,A320,A320,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.8 < 3
620,621,IBE04GZ,NSZ5528,Media,Media,LEBL-24L,LEBL-24L,-,-,4.952973600748193,,,,A320,B738,-,-,HP,HP,False,True,False,3,True,True,True,
622,623,VLG5WG,VLG45PN,Media,Media,LEBL-24L,LEBL-24L,-,-,4.1716326888509,06:21:29:633,4.292501841928526,06:21:33:617,A20N,A320,-,-,HP,HP,False,True,False,3,True,True,True,
623,624,VLG45PN,VLG65MT,Media,Media,LEBL-24L,LEBL-24L,-,LOBAR1C,3.7333480617895964,06:22:53:531,3.8322267726047436,06:22:57:508,A320,A320,-,LOBAR1C,HP,HP,False,True,False,3,True,True,True,
624,625,VLG65MT,IBE2601,Media,Pesada,LEBL-24L,LEBL-24L,LOBAR1C,LOTOS1C,7.501070554475163,06:25:17:336,7.618502477955838,06:25:21:344,A320,A332,LOBAR1C,LOTOS1C,HP,HP,False,True,False,3,True,True,True,
625,626,IBE2601,VLG93DX,Pesada,Media,LEBL-24L,LEBL-24L,LOTOS1C,LARPA1C,7.058400615741101,,,,A332,A320,LOTOS1C,LARPA1C,HP,HP,False,True,True,5,True,True,True,
626,627,VLG93DX,SWT7TN,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,3.5546797197656015,06:28:57:055,3.6711318231029875,06:29:01:031,A320,AT72,LARPA1C,LARPA1C,HP,NR+,False,True,True,3,True,True,True,
627,628,SWT7TN,EJU37TW,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,NATPI1C,5.534657118257079,06:31:08:773,5.631077554592981,06:31:12:766,AT72,A319,LARPA1C,NATPI1C,NR+,HP,False,True,False,8,False,True,False,TWR 5.5 < 8
628,629,EJU37TW,VLG92CD,Media,Media,LEBL-24L,LEBL-24L,NATPI1C,NATPI1C,5.468468764207555,06:32:56:734,5.6034701227239925,06:33:00:719,A319,A320,NATPI1C,NATPI1C,HP,HP,False,True,True,5,True,True,True,
629,630,VLG92CD,VLG2974,Media,Media,LEBL-24L,LEBL-24L,NATPI1C,NATPI1C,4.7521491806519265,,,,A320,A20N,NATPI1C,NATPI1C,HP,HP,False,True,True,5,False,True,False,TWR 4.8 < 5
631,632,TVF32PR,VLG21PG,Media,Media,LEBL-24L,LEBL-24L,OLOXO1C,LOTOS1C,6.357852377213257,06:45:55:727,6.493239653239979,06:45:59:719,B738,A20N,OLOXO1C,LOTOS1C,HP,HP,False,True,False,3,True,True,True,
632,633,VLG21PG,AEA38LZ,Media,Media,LEBL-24L,LEBL-24L,LOTOS1C,LARPA1C,8.280941191373385,06:48:27:445,8.478682598568291,06:48:31:445,A20N,B738,LOTOS1C,LARPA1C,HP,HP,False,True,True,5,True,True,True,
633,634,AEA38LZ,RYR2889,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,5.8337026900969295,06:50:31:297,5.991232128420452,06:50:35:281,B738,B738,LARPA1C,LARPA1C,HP,HP,False,True,True,5,True,True,True,
634,636,RYR2889,VLG200Z,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,5.3534518791324315,06:52:23:172,5.493806350736358,06:52:27:156,B738,A320,LARPA1C,LARPA1C,HP,HP,False,True,True,5,True,True,True,
636,637,VLG200Z,VLG57RJ,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,3.024009537325807,06:53:35:234,3.0784990859041397,06:53:39:211,A320,A320,LARPA1C,DIPES1C,HP,HP,False,True,False,3,True,True,True,
637,638,VLG57RJ,RYR63PB,Media,Media,LEBL-24L,LEBL-24L,DIPES1C,LOTOS1C,3.9864556388999826,06:55:03:023,4.104320738958536,06:55:07:008,A320,B738,DIPES1C,LOTOS1C,HP,HP,False,True,False,3,True,True,True,
638,639,RYR63PB,EWG81R,Media,Media,LEBL-24L,LEBL-24L,LOTOS1C,-,4.306773602774313,06:56:38:898,4.429408028376974,06:56:42:875,B738,A320,LOTOS1C,-,HP,HP,False,True,False,3,True,True,True,
640,641,RYR4WX,VLG5FN,Media,Media,LEBL-24L,LEBL-24L,OLOXO1C,NATPI1C,4.576322890718043,07:05:22:266,4.692315795557516,07:05:26:250,B38M,A320,OLOXO1C,NATPI1C,HP,HP,False,True,True,5,False,True,False,TWR 4.6 < 5
641,642,VLG5FN,VLG6VG,Media,Media,LEBL-24L,LEBL-24L,NATPI1C,DUNES1C,6.397946679188909,,,,A320,A320,NATPI1C,DUNES1C,HP,HP,False,True,False,3,True,True,True,
643,645,IBE04YC,VLG8QR,Media,Media,LEBL-24L,LEBL-24L,-,LOTOS1C,4.412112329875596,07:13:01:602,4.556736235600341,07:13:05:586,A20N,A320,-,LOTOS1C,HP,HP,False,True,False,3,True,True,True,
645,646,VLG8QR,VLG9FC,Media,Media,LEBL-24L,LEBL-24L,LOTOS1C,GRAUS1C,3.001235900010517,07:14:13:633,3.067719597840094,07:14:17:617,A320,A320,LOTOS1C,GRAUS1C,HP,HP,False,True,False,3,True,True,True,
646,647,VLG9FC,WMT182,Media,Media,LEBL-24L,LEBL-24L,GRAUS1C,-,4.9252416533221695,07:15:57:445,5.052809307948131,07:16:01:430,A320,A321,GRAUS1C,-,HP,HP,False,True,False,3,True,True,True,
647,648,WMT182,NJE838T,Media,Media,LEBL-24L,LEBL-24L,-,-,3.619520917944839,07:17:25:367,3.1169373825835467,07:19:04:914,A321,C56X,-,-,HP,LP,False,True,False,3,True,True,True,
649,650,TRA3T,QTR138,Media,Pesada,LEBL-24L,LEBL-24L,OLOXO1C,DIPES1C,4.114729958001933,07:23:44:859,4.2284942594935515,07:23:48:844,B738,B789,OLOXO1C,DIPES1C,HP,HP,False,True,False,3,True,True,True,
650,651,QTR138,BTX6F,Pesada,Media,LEBL-24L,LEBL-24L,DIPES1C,-,7.194409569193532,07:26:32:414,7.337783227448142,07:26:36:391,B789,FA7X,DIPES1C,-,HP,HP,False,True,False,3,True,True,True,
651,652,BTX6F,RYR23VU,Media,Media,LEBL-24L,LEBL-24L,-,-,5.096020503624697,07:28:12:391,5.249415679103639,07:28:16:383,FA7X,B738,-,-,HP,HP,False,True,False,3,True,True,True,
652,653,RYR23VU,RYR98RR,Media,Media,LEBL-24L,LEBL-24L,-,DIPES1C,5.014871451741096,,,,B738,B738,-,DIPES1C,HP,HP,False,True,False,3,True,True,True,
653,654,RYR98RR,LHX06E,Media,Media,LEBL-24L,LEBL-24L,DIPES1C,-,4.24445914465118,07:31:00:258,4.371816664060311,07:31:04:234,B738,A20N,DIPES1C,-,HP,HP,False,True,False,3,True,True,True,
657,658,RYR26UP,RYR97BB,Media,Media,LEBL-24L,LEBL-24L,-,-,4.658607834877695,07:39:11:648,4.7829873689435765,07:39:15:641,B738,B738,-,-,HP,HP,False,True,False,3,True,True,True,
658,659,RYR97BB,KLM1498,Media,Media,LEBL-24L,LEBL-24L,-,-,4.389829319708915,07:40:43:492,4.517799198067081,07:40:47:477,B738,E190,-,-,HP,HP,False,True,False,3,True,True,True,
659,660,KLM1498,WMT95Z,Media,Media,LEBL-24L,LEBL-24L,-,-,4.396490189562306,,,,E190,A21N,-,-,HP,HP,False,True,False,3,True,True,True,
660,661,WMT95Z,IBE04LK,Media,Media,LEBL-24L,LEBL-24L,-,-,6.299772483079267,07:44:19:133,6.487388469583802,07:44:23:125,A21N,A20N,-,-,HP,HP,False,True,False,3,True,True,True,
661,662,IBE04LK,DAL251,Media,Pesada,LEBL-24L,LEBL-24L,-,-,4.92307097475334,07:46:03:023,5.076674162291917,07:46:07:008,A20N,A339,-,-,HP,HP,False,True,False,3,True,True,True,
663,664,WZZ17JZ,WZZ521,Media,Media,LEBL-24L,LEBL-24L,-,-,3.5849314114298862,07:52:02:688,3.648439745618199,07:52:06:664,A21N,A21N,-,-,HP,HP,False,True,False,3,True,True,True,
664,665,WZZ521,AEA68NT,Media,Media,LEBL-24L,LEBL-24L,-,LARPA1C,4.994633256745112,07:53:42:453,5.148804710513368,07:53:46:438,A21N,B738,-,LARPA1C,HP,HP,False,True,False,3,True,True,True,
665,666,AEA68NT,RYR2VW,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,-,3.4849602035802656,07:55:06:422,3.5667361888678735,07:55:10:398,B738,B738,LARPA1C,-,HP,HP,False,True,False,3,True,True,True,
717,751,ICC03,DICMD,Ligera,Ligera,LEBL-24L,LEBL-24L,-,-,6.8739197618821,06:56:27:805,,,C200,C25A,-,-,LP,LP,False,True,False,3,True,True,True,
