id,callsign,Time_despegue,lat_turn,lon_turn,time_turn,roll_turn_deg,track_turn_deg,alt_ft_turn,SID,TipoAeronave,Estela,Atraviesa_radial_234,turn_found,turn_compliant,radial_from_bcn_deg
647,WMT182,07:15:49:383,41.27911424,2.0652018,07:16:25:680,-15.645,,724.995501538557,-,A321,Media,True,False,False,65.42547811789183
648,NJE838T,07:17:21:305,41.27342551,2.06693476,07:17:57:477,-23.73,,1549.99718469657,-,C56X,Media,True,False,False,78.2262460778955
649,TRA3T,07:22:08:898,41.27405943,2.06140519,07:22:53:148,-20.215,,1074.9950865536,OLOXO1C,B738,Media,True,False,False,74.38596662079351
650,QTR138,07:23:36:805,41.27719113,2.06093725,07:24:17:086,-15.293,,674.994287650956,DIPES1C,B789,Pesada,True,False,False,66.4824870901275
651,BTX6F,07:26:24:734,41.28422328,2.08026026,07:26:36:820,-3.867,,599.998856128032,-,FA7X,Media,True,False,False,65.50559052334398
652,RYR23VU,07:28:04:492,41.27831341,2.06360777,07:28:40:742,-11.426,,674.995077451024,-,B738,Media,True,False,False,65.95584409109938
653,RYR98RR,07:29:28:391,41.27867483,2.06609505,07:30:00:625,-26.719,,674.995876888203,DIPES1C,B738,Media,True,False,False,66.8780159155126
654,LHX06E,07:30:56:250,41.28006256,2.07021666,07:31:28:492,-23.555,,774.996951795101,-,A20N,Media,True,False,False,66.761584054536
655,ANE53GX,07:32:20:141,41.2709462,2.05331548,07:33:12:375,-15.82,,1324.992407661,-,CRJX,Media,True,False,False,79.50835056828771
656,VLG7CV,07:34:19:984,41.27544223,2.06222888,07:35:00:227,-25.312,,1074.99511732269,-,A320,Media,True,False,False,71.46920008406022
657,RYR26UP,07:37:31:742,41.27761749,2.06471484,07:38:07:992,-27.598,,849.995596121291,-,B738,Media,True,False,False,68.15351782289372
658,RYR97BB,07:39:07:641,41.27882864,2.06558811,07:39:39:883,-24.961,,624.995678233906,-,B738,Media,True,False,False,66.24853175000959
659,KLM1498,07:40:27:359,41.27946382,2.06590568,07:41:11:766,-10.371,,574.995678005102,-,E190,Media,True,False,False,65.21687067233995
660,WMT95Z,07:42:07:336,41.28076793,2.07016542,07:42:39:641,-10.898,,549.99681863103,-,A21N,Media,True,False,False,65.51168468124524
661,IBE04LK,07:44:11:234,41.28259017,2.07480858,07:44:35:469,-15.469,,549.997828544674,-,A20N,Media,True,False,False,65.15504608134665
662,DAL251,07:45:55:086,41.27862788,2.06474246,07:46:31:352,-15.645,,824.99542832757,-,A339,Pesada,True,False,False,66.0888347578126
663,WZZ17JZ,07:50:26:750,41.27402244,2.0552692,07:51:15:000,-21.445,,874.99259006963,-,A21N,Media,True,False,False,70.43891468228082
664,WZZ521,07:51:50:586,41.27699496,2.06240815,07:52:30:883,-19.16,,949.994885345427,-,A21N,Media,True,False,False,67.99155377854316
665,AEA68NT,07:53:34:508,41.27380113,2.05972549,07:54:18:727,-19.336,,949.994487198903,LARPA1C,B738,Media,True,False,False,74.13419885820917
666,RYR2VW,07:54:58:375,41.27706085,2.05946812,07:55:38:664,-13.184,,774.993742139021,-,B738,Media,True,False,False,65.63007715536088
667,VLG7KT,07:59:22:008,41.27318731,2.05744034,08:00:10:281,-23.555,,1199.99369952979,-,A320,Media,True,False,False,74.50427735489842
