CAT,SAC,SIC,Time,LAT,LON,H(m),H(ft),RHO,THETA,Mode3/A,FL,TA,TI,BP,RA,TTA,GS,TAR,TAS,HDG,IAS,MACH,BAR,IVV,TN,GS(kt),HDG.1,STAT,callsign,lat,lon,ALT_CORR,X,Y
CAT048,20,129,04:03:07:289,41.28848626,2.19715461,716.267346440814,2349.95856089688,4.378906,99.63501,1000.0,23.5,4CAD3C,RYR1FB,1014,,,,,,96.679688,211.0,0.332,1824.0,1856,2077,226.6,98.3771,"No alert, no SPI, aircraft airbone",RYR1FB,41.28848626,2.19715461,1824.0,22.759621721778814,10.436181887769688
CAT048,20,129,04:03:11:281,41.28791718,2.20261322,754.365848058835,2474.95364894535,4.628906,99.536133,1000.0,24.75,4CAD3C,RYR1FB,1014,-0.176,"98,262",228.0,"-0,031",224.0,96.503906,211.0,0.332,1824.0,1856,2077,228.58,98.3057,"No alert, no SPI, aircraft airbone",RYR1FB,41.28791718,2.20261322,1824.0,23.006002472752883,10.403461279194815
CAT048,20,129,04:03:15:281,41.28731738,2.2082404,792.464216089807,2599.94829871608,4.886719,99.453735,1000.0,26.0,4CAD3C,RYR1FB,1014,,,,,,96.679688,212.0,0.336,1568.0,1824,2077,229.46,98.02,"No alert, no SPI, aircraft airbone",RYR1FB,41.28731738,2.2082404,1568.0,23.260000960102918,10.368957360547864
CAT048,20,129,04:03:19:273,41.28674023,2.21378444,830.562520724721,2724.94274049449,5.140625,99.371338,1000.0,27.25,4CAD3C,RYR1FB,1014,,,,,,96.855469,212.0,0.336,1984.0,1888,2077,231.44,97.9541,"No alert, no SPI, aircraft airbone",RYR1FB,41.28674023,2.21378444,1984.0,23.510246252718765,10.335806869080203
CAT048,20,129,04:03:23:273,41.28612591,2.21958355,868.660655210726,2849.93662404156,5.40625,99.299927,1000.0,28.5,4CAD3C,RYR1FB,1014,,,,,,97.03125,213.0,0.34,2048.0,2048,2077,232.54,98.1628,"No alert, no SPI, aircraft airbone",RYR1FB,41.28612591,2.21958355,2048.0,23.772013372016453,10.300511044383091
CAT048,20,129,04:03:27:266,41.28552816,2.22511469,914.378788213246,2999.93050352154,5.660156,99.244995,1000.0,30.0,4CAD3C,RYR1FB,1014,0.527,"98,086",234.0,"0,031",228.0,97.207031,213.0,0.34,2016.0,2144,2077,233.42,98.1299,"No alert, no SPI, aircraft airbone",RYR1FB,41.28552816,2.22511469,2016.0,24.021693431607307,10.26615318997853
CAT048,20,129,04:03:31:258,41.28490681,2.23082403,952.476771027781,3124.92388945879,5.921875,99.195557,1000.0,31.25,4CAD3C,RYR1FB,1014,,,,,,97.207031,213.0,0.34,2176.0,2176,2077,234.74,98.3331,"No alert, no SPI, aircraft airbone",RYR1FB,41.28490681,2.23082403,2176.0,24.27942394284238,10.230444451008822
CAT048,20,129,04:03:35:250,41.28425387,2.23660628,998.194635615684,3274.91688831336,6.1875,99.162598,1000.0,32.75,4CAD3C,RYR1FB,1014,,,,,,97.207031,213.0,0.34,2112.0,2208,2077,234.96,98.8165,"No alert, no SPI, aircraft airbone",RYR1FB,41.28425387,2.23660628,2112.0,24.5404595835394,10.192877137174026
CAT048,20,129,04:03:39:242,41.28358608,2.24220957,1043.91247810237,3424.90981465738,6.445312,99.151611,1000.0,34.25,4CAD3C,RYR1FB,1014,,,,,,97.207031,212.0,0.34,2144.0,2112,2077,236.06,99.0198,"No alert, no SPI, aircraft airbone",RYR1FB,41.28358608,2.24220957,2144.0,24.793434431580884,10.154384845328963
CAT048,20,129,04:03:43:242,41.28288716,2.24798959,1082.01016067062,3549.90221553458,6.710938,99.146118,1000.0,35.5,4CAD3C,RYR1FB,1014,-1.582,"98,965",236.0,"-0,156",230.0,97.03125,212.0,0.344,2208.0,2112,2077,236.06,99.0198,"No alert, no SPI, aircraft airbone",RYR1FB,41.28288716,2.24798959,2208.0,25.054397437701855,10.114091295104709
