Time,time_seconds,callsign_preceding,callsign_following,X_preceding,Y_preceding,lat_preceding,lon_preceding,X_following,Y_following,lat_following,lon_following,id_preceding,id_following,distance_nm,distance_to_threshold_preceding,distance_to_threshold_following,both_beyond_threshold,runway_preceding,runway_following,sid_preceding,sid_following,Time_preceding,Time_following
06:53:15:086,24795.086,RYR2889,VLG200Z,15.549558200407224,1.857465268947247,41.14614638,2.03653591,16.331399262382728,8.94056847857968,41.26410215,2.05448548,634,636,7.126122825526953,9.270916612724042,2.773549187030091,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:15:977,24795.977,ICC03,DICMD,16.668776048368336,11.399839912826517,41.30505129,2.06219493,24.733670856871058,14.301701830883776,41.35268756,2.24146507,717,751,8.571075245480294,2.006388763419609,7.209153318020406,True,LEBL-24L,LEBL-24L,-,-,,
06:53:19:086,24799.086,RYR2889,VLG200Z,15.4082431073713,1.5836962653274538,41.14159448,2.03338566,16.318871594357223,8.73913347521927,41.260747,2.05418925,634,636,7.213149513632354,9.57566675326776,2.9106871706104367,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:20:008,24800.008,ICC03,DICMD,16.605747274457624,11.51615765798008,41.30699366,2.06080798,24.56698592019765,14.225869687656283,41.35144166,2.23775508,717,751,8.40974791882589,2.1105242822524675,7.027086740184189,True,LEBL-24L,LEBL-24L,-,-,,
06:53:23:078,24803.078,RYR2889,VLG200Z,15.265680694850138,1.3068341060288409,41.13699104,2.03020799,16.311324875826667,8.529663072563725,41.25725763,2.0540027,634,636,7.298125103958239,9.883955498421214,3.0569318051837904,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:24:039,24804.039,ICC03,DICMD,16.544842333141517,11.633611973702918,41.3089548,2.05946816,24.399893176331805,14.150829072288198,41.35020887,2.23403629,717,751,8.24852748498267,2.216276463781303,6.845132710649714,True,LEBL-24L,LEBL-24L,-,-,,
06:53:27:078,24807.078,RYR2889,VLG200Z,15.121365662802418,1.0311643451267989,41.13240749,2.0269921,16.309833634690484,8.316651948542033,41.25370885,2.05395004,634,636,7.3817874352842745,10.19189519159006,3.2085817092273263,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:27:289,24807.289,VLG200Z,VLG57RJ,16.309833634690484,8.316651948542033,41.25370885,2.05395004,18.228594176177705,10.50201093614588,41.28997739,2.09669653,636,637,2.9081671066617267,3.2085817092273263,0.3259997829502373,False,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:53:28:063,24808.063,ICC03,DICMD,16.47657714440141,11.750135945960372,41.31090094,2.05796492,24.23647520632241,14.077143103964811,41.34899815,2.23039938,717,751,8.101294973324276,2.3307697373732625,6.6670921488601635,True,LEBL-24L,LEBL-24L,-,-,,
06:53:31:078,24811.078,RYR2889,VLG200Z,14.982276463779028,0.757425571125635,41.12785569,2.02389241,16.31081033281267,8.097933396844619,41.25006481,2.05395155,634,636,7.4597625552433735,10.49644247065483,3.369560820621824,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:31:258,24811.258,VLG200Z,VLG57RJ,16.31081033281267,8.097933396844619,41.25006481,2.05395155,18.11833922847349,10.447956663186824,41.28908533,2.09424629,636,637,2.9647546375709593,3.369560820621824,0.4487630856350331,False,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:53:32:078,24812.078,ICC03,DICMD,16.41177845186076,11.86514143046316,41.31282152,2.05653834,24.07288155833269,14.004221632745333,41.34780007,2.22675881,717,751,7.954128797032985,2.44359946316555,6.489365205168155,True,LEBL-24L,LEBL-24L,-,-,,
06:53:35:078,24815.078,RYR2889,VLG200Z,14.841711321869642,0.480598151695882,41.12325244,2.02076025,16.313290685080773,7.869336683869118,41.24625609,2.05398547,634,636,7.533857107687296,10.804538147531481,3.543516395275711,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:35:234,24815.234,VLG200Z,VLG57RJ,16.313290685080773,7.869336683869118,41.24625609,2.05398547,17.98477486589464,10.389410951649026,41.28812017,2.09127883,636,637,3.024009537325807,3.543516395275711,0.5945633305450738,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:53:36:109,24816.109,ICC03,DICMD,16.34754336002166,11.982008001079512,41.31477305,2.05512435,23.909596722466844,13.930219523280924,41.34658384,2.22312508,717,751,7.8089806755880025,2.55876220321091,6.311416137656249,True,LEBL-24L,LEBL-24L,-,-,,
06:53:39:078,24819.078,RYR2889,VLG200Z,14.69968588682462,0.2003149714868189,41.11859162,2.01759595,16.32310096457431,7.640770446561804,41.24244737,2.0541818,634,636,7.615500915319908,11.116513231906856,3.719017031973769,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:39:211,24819.211,VLG200Z,VLG57RJ,16.32310096457431,7.640770446561804,41.24244737,2.0541818,17.838765083193486,10.320307515057587,41.28697998,2.08803445,636,637,3.0784990859041397,3.719017031973769,0.7560928188550756,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:53:40:125,24820.125,ICC03,DICMD,16.286784803242714,12.099597708377235,41.31673637,2.05378746,23.74669543163183,13.855871873831155,41.3453617,2.21949995,717,751,7.6638610065549715,2.6730987976102605,6.133689310901804,True,LEBL-24L,LEBL-24L,-,-,,
06:53:43:070,24823.07,RYR2889,VLG200Z,14.556540494536376,-0.0794004953038117,41.11394024,2.01440738,16.32310096457431,7.640770446561804,41.24244737,2.0541818,634,636,7.919708029083324,11.428467371019828,3.719017031973769,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:43:188,24823.188,VLG200Z,VLG57RJ,16.327663429883422,7.397241748956154,41.23838973,2.05426046,17.680431976749038,10.248476404156513,41.28579518,2.08451668,636,637,3.1558710050324326,3.9153713624833464,0.9299537546331469,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:53:44:141,24824.141,ICC03,DICMD,16.224925066519223,12.216509132871224,41.31868845,2.052426,23.58382724609629,13.781000658614124,41.34413072,2.21587562,717,751,7.523368595430206,2.789553820933294,5.955794471420389,True,LEBL-24L,LEBL-24L,-,-,,
06:53:47:164,24827.164,VLG200Z,VLG57RJ,16.33453752755301,7.147699476647414,41.23423174,2.05438977,17.509815759516748,10.167414092915244,41.28445739,2.08072579,636,637,3.2403634497119884,4.120636136218294,1.1188377142920782,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:53:48:148,24828.148,ICC03,DICMD,16.16161602729134,12.333662230206926,41.32064464,2.05103233,23.420680334377423,13.706649010962517,41.34290831,2.21224531,717,751,7.387767410695923,2.9086803388300333,5.778023342786754,True,LEBL-24L,LEBL-24L,-,-,,
06:53:51:141,24831.141,VLG200Z,VLG57RJ,16.344911092559716,6.896767273152463,41.23005035,2.05459646,17.349454892326246,10.091909226513614,41.28321131,2.07716297,636,637,3.3493343141254046,4.330001958768117,1.2960822520338928,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:53:52:164,24832.164,ICC03,DICMD,16.098071536944573,12.445181690035795,41.32250697,2.04963284,23.263986811233224,13.636778843730088,41.34175981,2.20875893,717,751,7.264313146814069,3.025796845086659,5.608198714291602,True,LEBL-24L,LEBL-24L,-,-,,
06:53:55:125,24835.125,VLG200Z,VLG57RJ,16.354338572990027,6.637404682050186,41.22572857,2.05478139,17.182818251467932,10.009314663531883,41.28184746,2.07346046,636,637,3.472197503147935,4.551464453875185,1.4820132105489994,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:53:56:164,24836.164,ICC03,DICMD,16.019154656411974,12.54275558873513,41.32413799,2.04789097,23.104565700932547,13.563648066764422,41.34055715,2.20521172,717,751,7.158580244818864,3.1475231012242837,5.4344292531101965,True,LEBL-24L,LEBL-24L,-,-,,
06:53:59:102,24839.102,VLG200Z,VLG57RJ,16.364180441331396,6.3813450590871215,41.22146179,2.05497578,17.02438917338718,9.931855712975931,41.28056846,2.06994056,636,637,3.611371134799171,4.773629145264958,1.6583422642589272,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:00:164,24840.164,ICC03,DICMD,15.93024818659715,12.620372706253065,41.32543717,2.04592559,22.94885177972962,13.491811436776649,41.33937558,2.20174707,717,751,7.072496154724197,3.265282519801677,5.264584341613045,True,LEBL-24L,LEBL-24L,-,-,,
06:54:03:086,24843.086,VLG200Z,VLG57RJ,16.373574300550363,6.124278835547741,41.21717827,2.05516013,16.870631973038332,9.838123687614532,41.2790179,2.06652282,636,637,3.7469600898598006,5.000158189469851,1.837477260578552,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:04:164,24844.164,ICC03,DICMD,15.836542711355948,12.682238235829589,41.32647421,2.04385225,22.783236977993287,13.413612049005556,41.33808886,2.19806203,717,751,6.985089039427603,3.3773105440736195,5.083080480332224,True,LEBL-24L,LEBL-24L,-,-,,
06:54:07:063,24847.063,VLG200Z,VLG57RJ,16.382650825204568,5.869716638096183,41.21293649,2.05533766,16.75124377096954,9.702988019929712,41.27677499,2.06386325,636,637,3.85095186239086,5.227374557723,2.004996626369049,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:08:156,24848.156,ICC03,DICMD,15.73747455939472,12.735488687976323,41.32736804,2.0416591,22.628017877847903,13.340767776354168,41.33689024,2.19460849,717,751,6.917076694551486,3.4884454558470686,4.913326112978014,True,LEBL-24L,LEBL-24L,-,-,,
06:54:11:047,24851.047,VLG200Z,VLG57RJ,16.391991877723324,5.616711942958153,41.20872064,2.05552117,16.645612680405648,9.56327527495511,41.27445479,2.0615084,636,637,3.9547042424201777,5.4554838501061145,2.164867562436006,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:12:148,24852.148,ICC03,DICMD,15.637899242939962,12.779276525417645,41.32810421,2.0394538,22.466149030108166,13.26376980146925,41.33562295,2.191007,717,751,6.845416633814325,3.5944249873755862,4.7358575275052575,True,LEBL-24L,LEBL-24L,-,-,,
06:54:15:039,24855.039,VLG200Z,VLG57RJ,16.40104440210835,5.356475827075392,41.20438433,2.0556976,16.566630411836496,9.394418883792303,41.27164712,2.05974172,636,637,4.041336765960739,5.692531881366686,2.319741389981192,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:16:141,24856.141,ICC03,DICMD,15.538673065249,12.817081663743432,41.32874064,2.03725567,22.30376189385544,13.187725188862665,41.33437148,2.18739427,717,751,6.775234570230649,3.696755399699937,4.558631744152121,True,LEBL-24L,LEBL-24L,-,-,,
06:54:19:023,24859.023,VLG200Z,VLG57RJ,16.409822296459705,5.093787896386553,41.20000719,2.0558677,16.52321291542054,9.208695655124272,41.26855592,2.05876195,636,637,4.116469761262458,5.933926712720914,2.4595806886945253,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:20:133,24860.133,ICC03,DICMD,15.435088468669138,12.854220894116317,41.32936622,2.03496074,22.145138220030592,13.112873080020606,41.33313941,2.18386533,717,751,6.71503303186358,3.8024495155075657,4.3853553317158696,True,LEBL-24L,LEBL-24L,-,-,,
06:54:23:008,24863.008,VLG200Z,VLG57RJ,16.41860885915192,4.823525857000066,41.19550386,2.05603727,16.499255014580257,9.015201415608296,41.26533388,2.05821287,636,637,4.192451286660226,6.184189668842239,2.595491603234745,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:24:125,24864.125,ICC03,DICMD,15.330870948259374,12.890746348798114,41.32998157,2.03265167,21.979053293290825,13.035384203620117,41.331864,2.18017065,717,751,6.649755529478914,3.908546955001465,4.2046210003062034,True,LEBL-24L,LEBL-24L,-,-,,
06:54:26:992,24866.992,VLG200Z,VLG57RJ,16.432109752468172,4.5572425894643125,41.19106649,2.05631156,16.483489399042554,8.810243323017426,41.26192027,2.05784435,636,637,4.2533110758191,6.430785115768171,2.7400554402263277,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:28:117,24868.117,ICC03,DICMD,15.22583854820917,12.92557217329167,41.33056861,2.03032433,21.823148198739688,12.964031018562256,41.33068975,2.17670273,717,751,6.597421746998038,4.014578936673865,4.035971472247319,True,LEBL-24L,LEBL-24L,-,-,,
06:54:30:977,24870.977,VLG200Z,VLG57RJ,16.441778616958487,4.272921153842143,41.18632886,2.05649931,16.473484996164913,8.601817410365747,41.25844848,2.05760323,636,637,4.329012369377853,6.697254914960296,2.8903604261911764,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:32:109,24872.109,ICC03,DICMD,15.12131828694446,12.952093929648138,41.33101722,2.0280076,21.66392066085975,12.890141163143795,41.32947344,2.17316091,717,751,6.542895686807142,4.115756236320076,3.8633906142995604,True,LEBL-24L,LEBL-24L,-,-,,
06:54:34:969,24874.969,VLG200Z,VLG57RJ,16.44718222426938,3.9869151005432752,41.18156346,2.05659246,16.471008563647597,8.38934102287854,41.25490868,2.05752859,636,637,4.402490397047752,6.968028829489735,3.045450007179215,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:36:094,24876.094,ICC03,DICMD,15.014847254296848,12.966083195798983,41.33125711,2.02564649,21.51120290440736,12.820539573904016,41.32832787,2.16976417,717,751,6.497985817051085,4.211946128094093,3.698874584404999,True,LEBL-24L,LEBL-24L,-,-,,
06:54:38:953,24878.953,VLG200Z,VLG57RJ,16.432054335279968,3.6912395429851617,41.17663839,2.05623024,16.470830280564577,8.17088169564164,41.25126904,2.05750433,636,637,4.4798099725088205,7.2551396529028835,3.210247897194049,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:40:078,24880.078,ICC03,DICMD,14.908158952198216,12.97104721465498,41.3313466,2.02327978,21.35915631047753,12.749622943479933,41.32716023,2.16638228,717,751,6.454796327103753,4.303948360231315,3.534422448732962,True,LEBL-24L,LEBL-24L,-,-,,
06:54:42:945,24882.945,VLG200Z,VLG57RJ,16.367042364169706,3.397740910408797,41.17175305,2.05476418,16.47500534332501,7.949961137665723,41.24758809,2.05757631,636,637,4.553500302219732,7.554948781150904,3.3804475024217937,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:44:070,24884.07,ICC03,DICMD,14.79568134663414,12.97202722017314,41.33137003,2.02078428,21.210879776362955,12.679868896953296,41.32601152,2.16308429,717,751,6.421847660807727,4.399408901664882,3.3740021419341417,True,LEBL-24L,LEBL-24L,-,-,,
06:54:46:945,24886.945,VLG200Z,VLG57RJ,16.250714127407132,3.11465324456884,41.16704468,2.05216358,16.480576852972664,7.7232909462103985,41.24381125,2.05767869,636,637,4.6143665153080775,7.85952920203071,3.560137338004353,True,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,,
06:54:48:055,24888.055,ICC03,DICMD,14.680005860551416,12.974024848081378,41.33141056,2.01821791,21.065399175549476,12.613023229197385,41.32491092,2.15984879,717,751,6.395589883353902,4.498918131344867,3.2179217345091558,True,LEBL-24L,LEBL-24L,-,-,,
