tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,thr_distance_nm,ATCZone,min_required_nm,is_below_minima,margin_nm
16824.0,AFR32SN,VLG8SJ,25.86621301681246,10.059638170553882,18.621891007552595,10.67063696451326,7.270042702767755,,TMA,3.0,False,4.270042702767755
16828.0,AFR32SN,VLG8SJ,26.14023265803911,10.080395891768164,18.782673403256176,10.739703631558266,7.387040333136753,,TMA,3.0,False,4.387040333136753
16832.0,AFR32SN,VLG8SJ,26.42482401527939,10.156909716797747,18.951051640990528,10.792802662296255,7.5007755159595435,,TMA,3.0,False,4.5007755159595435
16836.0,AFR32SN,VLG8SJ,26.69903689111267,10.260875830939042,19.12629879753464,10.81105743281879,7.5926979413759605,,TMA,3.0,False,4.5926979413759605
16840.0,AFR32SN,VLG8SJ,26.962734570608973,10.407453728289472,19.310272361844948,10.805573715482538,7.662811323578585,,TMA,3.0,False,4.662811323578585
16844.0,AFR32SN,VLG8SJ,27.20134979550008,10.587030199266238,19.49460531257272,10.784253884584516,7.709267650508822,,TMA,3.0,False,4.709267650508822
16848.0,AFR32SN,VLG8SJ,27.41997575385264,10.795040901740434,19.68417118884379,10.759781165935124,7.735884921389459,,TMA,3.0,False,4.735884921389459
16852.0,AFR32SN,VLG8SJ,27.603242777767143,11.028921147195472,19.87983479299232,10.732298748338934,7.729101871937444,,TMA,3.0,False,4.729101871937444
16856.0,AFR32SN,VLG8SJ,27.78021020873084,11.279395174054,20.07842767597883,10.703488154982962,7.723284474653206,,TMA,3.0,False,4.723284474653206
16860.0,AFR32SN,VLG8SJ,27.91449430652369,11.55065791624191,20.283376254658705,10.669936657203234,7.681772754880367,,TMA,3.0,False,4.681772754880367
16864.0,AFR32SN,VLG8SJ,28.020626491347368,11.837472641167787,20.492463734245227,10.636003904111073,7.623435027829933,,TMA,3.0,False,4.623435027829933
17140.0,EJU73YK,EJU73YK,19.21355042718337,10.85015032352204,19.3917340916014,10.839144026726272,0.17852326692785242,,TMA,3.0,True,-2.8214767330721475
17376.0,UPS242,UPS242,18.84208567661789,10.66641498722414,19.01601261008533,10.665229194210982,0.17393097564970061,,TMA,3.0,True,-2.8260690243502995
17520.0,VLG365N,VLG365N,18.676436344367666,10.69455771152522,18.835912707588392,10.759570049335178,0.17221879831663253,,TMA,3.0,True,-2.8277812016833677
18072.0,VLG3YR,VLG3YR,16.45625277659483,8.678242621734702,16.44896071360766,8.471091628017659,0.2072793004150857,,TMA,3.0,True,-2.7927206995849145
18536.0,VLG73QE,VLG1265,18.20375930957077,10.490622822220748,13.22240337145248,2.4909793858728437,9.423810380675668,,TMA,3.0,False,6.423810380675668
18720.0,VLG6001,VLG73QE,16.25361158608734,7.391206714725852,13.008134491195545,2.332677423949691,6.010144770228723,,TMA,3.0,False,3.010144770228723
18724.0,VLG6001,VLG73QE,16.247841819526013,7.142454735733848,12.788581016823576,2.1636585956171026,6.062581653549493,,TMA,3.0,False,3.0625816535494934
18728.0,VLG6001,VLG73QE,16.240962942886554,6.880272488053286,12.56472863119234,1.98911220654374,6.118672046604098,,TMA,3.0,False,3.1186720466040976
18904.0,VLG4VF,VLG4SW,18.206896430277794,10.489361908504566,16.425872592172034,6.85329489371872,4.048830602521502,,TMA,3.0,False,1.0488306025215017
18908.0,VLG4SW,VLG4VF,16.436989666074947,6.607566323704032,18.086343057834416,10.438151426817624,4.170581355531173,,TMA,3.0,False,1.1705813555311728
18912.0,VLG4SW,VLG4VF,16.445809964106324,6.356988606489371,17.948539405069535,10.371108670111717,4.286181944098159,,TMA,3.0,False,1.2861819440981588
18916.0,VLG4SW,VLG4VF,16.452703019548856,6.104971325242086,17.79701101952961,10.298425836275358,4.403660379152502,,TMA,3.0,False,1.4036603791525017
18920.0,VLG4SW,VLG4VF,16.45690784796628,5.843701225026838,17.632515247478604,10.223287306273775,4.534625342940696,,TMA,3.0,False,1.5346253429406964
18924.0,VLG4SW,VLG4VF,16.45961902287415,5.581200439614683,17.463183833740786,10.142311442969516,4.670211549227114,,TMA,3.0,False,1.6702115492271137
18952.0,VLG4SW,VLG4VF,16.456820574719835,3.643849497979216,16.51642461644225,9.307205892601065,5.663670037554609,,TMA,3.0,False,2.663670037554609
18956.0,VLG4SW,VLG4VF,16.458648080852342,3.365857657537702,16.49307957227465,9.114601386323388,5.748846839745716,,TMA,3.0,False,2.748846839745716
18960.0,VLG4SW,VLG4VF,16.46284863265522,3.0835655790957244,16.477856297949213,8.915579966314967,5.8320336969833955,,TMA,3.0,False,2.8320336969833955
18964.0,VLG4SW,VLG4VF,16.48584166066208,2.809503172940905,16.470702236202417,8.710790148890712,5.901306395594775,,TMA,3.0,False,2.9013063955947747
18968.0,VLG4SW,VLG4VF,16.58097733994582,2.524128705300011,16.4681881611542,8.504486863479508,5.981421662026224,,TMA,3.0,False,2.981421662026224
18972.0,VLG4SW,VLG4VF,16.65903059007418,2.2650103519968137,16.46876839149667,8.292363634204179,6.030355486432242,,TMA,3.0,False,3.030355486432242
18976.0,VLG4SW,VLG4VF,16.805722125165868,2.0068875583222514,16.47340108984749,8.082363592857435,6.084558021477521,,TMA,3.0,False,3.0845580214775206
18980.0,VLG4SW,VLG4VF,16.972635799811812,1.7686782897842737,16.47771971268299,7.863303727556463,6.1146873313390895,,TMA,3.0,False,3.1146873313390895
18984.0,VLG4SW,VLG4VF,17.176159617260303,1.5535729046216866,16.484312398370086,7.6422102748115215,6.1278183393405445,,TMA,3.0,False,3.1278183393405445
18988.0,VLG4SW,VLG4VF,17.40812323491867,1.368504087130641,16.493338801569386,7.4231822168948,6.123394305002951,,TMA,3.0,False,3.123394305002951
18992.0,VLG4SW,VLG4VF,17.66214973612734,1.223820075961435,16.49791150774221,7.191790152919941,6.080470170299781,,TMA,3.0,False,3.0804701702997814
18996.0,VLG4SW,VLG4VF,17.946948755943072,1.116377084316261,16.50056670161854,6.951562015995508,6.011772137562152,,TMA,3.0,False,3.0117721375621516
19000.0,VLG4SW,DLH03K,18.243735014550943,1.0445972076739838,18.23690102647694,10.494741834590355,9.450147097957224,,TMA,3.0,False,6.450147097957224
19000.0,DLH03K,VLG4VF,18.23690102647694,10.494741834590355,16.502170298486288,6.705513346907756,4.167438449515522,,TMA,3.0,False,1.1674384495155223
19004.0,VLG4SW,VLG4VF,18.54217797080076,1.009207644298102,16.502908826614416,6.44970808689971,5.810134568870054,,TMA,3.0,False,2.810134568870054
19004.0,VLG4VF,DLH03K,16.502908826614416,6.44970808689971,18.118607640102372,10.443450831040105,4.308185669429817,,TMA,3.0,False,1.3081856694298173
19008.0,VLG4SW,VLG4VF,18.84429300873401,0.9871435379247308,16.504702828584616,6.195303989285503,5.709519900847173,,TMA,3.0,False,2.709519900847173
19008.0,VLG4VF,DLH03K,16.504702828584616,6.195303989285503,17.97884493229839,10.37929342931274,4.436086403148738,,TMA,3.0,False,1.436086403148738
19012.0,VLG4SW,VLG4VF,19.146097521834346,0.970193957002368,16.50267160455401,5.928324243073952,5.618786035596094,,TMA,3.0,False,2.618786035596094
19012.0,VLG4VF,DLH03K,16.50267160455401,5.928324243073952,17.831644162847873,10.31094468498011,4.5796866703424,,TMA,3.0,False,1.5796866703424
19016.0,VLG4SW,VLG4VF,19.449223832779747,0.9623697856958264,16.500470553431924,5.655002482572737,5.542196994898576,,TMA,3.0,False,2.5421969948985756
19016.0,VLG4VF,DLH03K,16.500470553431924,5.655002482572737,17.67843693587031,10.23990524522248,4.733807995800868,,TMA,3.0,False,1.733807995800868
19020.0,VLG4VF,DLH03K,16.500173645335696,5.383105254517073,17.526855908034584,10.168090405069226,4.893890002804018,,TMA,3.0,False,1.8938900028040182
19024.0,VLG4VF,DLH03K,16.499540644063146,5.112677172078593,17.38123450681544,10.100221308373769,5.064877153407322,,TMA,3.0,False,2.0648771534073216
19028.0,VLG4VF,DLH03K,16.495780737824855,4.836192974896207,17.235653109543016,10.018003533023254,5.234364506484889,,TMA,3.0,False,2.234364506484889
19032.0,VLG4VF,DLH03K,16.49154595726608,4.564955130660724,17.11455029877838,9.903666017937264,5.374938915696459,,TMA,3.0,False,2.3749389156964593
19036.0,VLG4VF,DLH03K,16.486815151418135,4.290631301787816,17.009316518946623,9.772775528054297,5.506987651761718,,TMA,3.0,False,2.506987651761718
19040.0,VLG4VF,DLH03K,16.479729250998105,4.013663265501721,16.938802167696604,9.623589840914098,5.628678719234569,,TMA,3.0,False,2.6286787192345686
19044.0,VLG4VF,DLH03K,16.472133246677668,3.7378209390687855,16.90019672376262,9.462465107858318,5.740626202747402,,TMA,3.0,False,2.7406262027474018
19048.0,VLG4VF,DLH03K,16.464705439306424,3.462182225369022,16.87474871548018,9.29959787671766,5.851799464689931,,TMA,3.0,False,2.8517994646899307
19052.0,VLG4VF,DLH03K,16.45602517476236,3.1829964109073634,16.854141022413135,9.131406051136624,5.9617173260834075,,TMA,3.0,False,2.9617173260834075
19056.0,VLG4VF,DLH03K,16.447589354044954,2.904548126163755,16.836156720054223,8.965766944062228,6.073661017572016,,TMA,3.0,False,3.0736610175720163
19060.0,VLG4VF,DLH03K,16.43801644175739,2.622760309109156,16.823356625256046,8.804060593911275,6.193299626847836,,TMA,3.0,False,3.1932996268478364
19064.0,VLG4VF,DLH03K,16.426186190572476,2.3418772474024103,16.810041300688916,8.636178226122809,6.305994731704354,,TMA,3.0,False,3.305994731704354
19068.0,VLG4VF,DLH03K,16.416746319494866,2.0607647216675358,16.799359093437147,8.468700332904017,6.4193482015338965,,TMA,3.0,False,3.4193482015338965
19072.0,VLG4VF,DLH03K,16.40962127742376,1.7794530065437306,16.793135568768804,8.301536861887035,6.533349908568779,,TMA,3.0,False,3.5333499085687787
19076.0,VLG4VF,DLH03K,16.39838285936836,1.495330163844684,16.785228378587934,8.132434706873406,6.648368684935633,,TMA,3.0,False,3.648368684935633
19080.0,VLG4VF,DLH03K,16.388875406044885,1.2151015939014094,16.777819363996244,7.964959508177841,6.761054597128102,,TMA,3.0,False,3.761054597128102
19084.0,VLG4VF,DLH03K,16.384193711985098,0.9301159878880864,16.769143850063355,7.795342144243537,6.87601023753699,,TMA,3.0,False,3.87601023753699
19088.0,VLG4VF,VLG593U,16.396889465651753,0.6495770945959608,18.18353242438944,10.473628535951931,9.985193026898143,,TMA,3.0,False,6.985193026898143
19088.0,VLG593U,DLH03K,18.18353242438944,10.473628535951931,16.760365615434175,7.622208884808681,3.1868476262660894,,TMA,3.0,False,0.18684762626608942
19092.0,VLG4VF,DLH03K,16.448933850438884,0.3779379295340361,16.752086632801127,7.445789782207528,7.074350247251975,,TMA,3.0,False,4.074350247251975
