callsign,time_despegue,SID,Estela,Airline,AircraftType,Runway,IAS_850ft,IAS_850ft_time,IAS_850ft_altitude,IAS_1500ft,IAS_1500ft_time,IAS_1500ft_altitude,IAS_3500ft,IAS_3500ft_time,IAS_3500ft_altitude
LHX06E,0 days 07:31:17,-,Media,1015,A20N,LEBL-24L,,,,175.0,07:31:56:313,1549.99896794103,,,
LHX06E,0 days 07:31:17,-,Media,1015,A20N,LEBL-24L,,,,,,,248.0,07:32:52:039,3425.03062798894
ANE53GX,0 days 07:32:43,-,Media,1015,CRJX,LEBL-24L,162.0,07:33:00:406,874.994527180926,,,,,,
ANE53GX,0 days 07:32:43,-,Media,1015,CRJX,LEBL-24L,,,,161.0,07:33:16:359,1449.99208558381,,,
ANE53GX,0 days 07:32:43,-,Media,1015,CRJX,LEBL-24L,,,,,,,202.0,07:34:24:008,3550.01647109307
VLG7CV,0 days 07:34:39,-,Media,1015,A320,LEBL-24L,162.0,07:34:56:242,874.995485150723,,,,,,
VLG7CV,0 days 07:34:39,-,Media,1015,A320,LEBL-24L,,,,170.0,07:35:16:117,1499.99623608314,,,
VLG7CV,0 days 07:34:39,-,Media,1015,A320,LEBL-24L,,,,,,,230.0,07:36:23:758,3450.03611750607
RYR26UP,0 days 07:37:51,-,Media,1015,B738,LEBL-24L,170.0,07:38:07:992,849.995596121291,,,,,,
RYR26UP,0 days 07:37:51,-,Media,1015,B738,LEBL-24L,,,,194.0,07:38:31:852,1549.996168733,,,
RYR26UP,0 days 07:37:51,-,Media,1015,B738,LEBL-24L,,,,,,,222.0,07:39:27:609,3525.02092438278
RYR97BB,0 days 07:39:27,-,Media,1015,B738,LEBL-24L,172.0,07:39:43:875,824.994962079608,,,,,,
RYR97BB,0 days 07:39:27,-,Media,1015,B738,LEBL-24L,,,,207.0,07:40:11:688,1524.99757758778,,,
RYR97BB,0 days 07:39:27,-,Media,1015,B738,LEBL-24L,,,,,,,212.0,07:40:59:430,3475.02726516537
KLM1498,0 days 07:40:43,-,Media,"1015,2",E190,LEBL-24L,158.0,07:41:19:766,824.993852015174,,,,,,
KLM1498,0 days 07:40:43,-,Media,"1015,2",E190,LEBL-24L,,,,157.0,07:41:43:617,1549.99527667994,,,
KLM1498,0 days 07:40:43,-,Media,"1015,2",E190,LEBL-24L,,,,,,,208.0,07:43:19:305,3525.02995388848
WMT95Z,0 days 07:42:24,-,Media,1014,A21N,LEBL-24L,168.0,07:42:47:641,899.995006842442,,,,,,
WMT95Z,0 days 07:42:24,-,Media,1014,A21N,LEBL-24L,,,,180.0,07:43:07:547,1524.99371412979,,,
WMT95Z,0 days 07:42:24,-,Media,1014,A21N,LEBL-24L,,,,,,,250.0,07:44:19:133,3525.04197810052
IBE04LK,0 days 07:44:31,-,Media,1015,A20N,LEBL-24L,150.0,07:44:43:461,949.996819712865,,,,,,
IBE04LK,0 days 07:44:31,-,Media,1015,A20N,LEBL-24L,,,,153.0,07:44:59:359,1524.99746600629,,,
IBE04LK,0 days 07:44:31,-,Media,1015,A20N,LEBL-24L,,,,,,,215.0,07:46:03:023,3450.02456757496
DAL251,0 days 07:46:17,-,Pesada,1015,A339,LEBL-24L,159.0,07:46:31:352,824.99542832757,,,,,,
DAL251,0 days 07:46:17,-,Pesada,1015,A339,LEBL-24L,,,,158.0,07:46:47:297,1474.99365220086,,,
DAL251,0 days 07:46:17,-,Pesada,1015,A339,LEBL-24L,,,,,,,189.0,07:48:30:891,3500.02957107474
WZZ17JZ,0 days 07:50:45,-,Media,1014,A21N,LEBL-24L,160.0,07:51:15:000,874.99259006963,,,,,,
WZZ17JZ,0 days 07:50:45,-,Media,1014,A21N,LEBL-24L,,,,178.0,07:51:42:820,1524.99561516455,,,
